"BudgetMs","File","Threads","Seed","ExitCode","PipelineLines"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=7485 final_sa_budget_ms=4211 final_polish_budget_ms=0 planned_total_ms=12696 || [PIPELINE][summary] input 0 initial_fdl_ms=1554 final_lahc_ms=7486 final_sa_ms=4210 final_polish_ms=0 final_k=1038 final_crossings=668028 final_lp=236237378150 saturated=0 budget_share_fdl=0.117283 budget_share_lahc=0.564981 budget_share_sa=0.317736 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","7201","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9416 final_sa_budget_ms=5298 final_polish_budget_ms=250 planned_total_ms=22462 || [PIPELINE][summary] input 0 initial_fdl_ms=21 final_lahc_ms=9416 final_sa_ms=5300 final_polish_ms=248 final_k=94 final_crossings=6383 final_lp=2123955622 saturated=0 budget_share_fdl=0.0014014 budget_share_lahc=0.628362 budget_share_sa=0.353687 budget_share_polish=0.0165499"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7497 final_lahc_budget_ms=8372 final_sa_budget_ms=4710 final_polish_budget_ms=0 planned_total_ms=20579 || [PIPELINE][summary] input 0 initial_fdl_ms=1036 final_lahc_ms=8372 final_sa_ms=4713 final_polish_ms=0 final_k=1192 final_crossings=691029 final_lp=6071390954819 saturated=0 budget_share_fdl=0.0733659 budget_share_lahc=0.592876 budget_share_sa=0.333758 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=7793 final_sa_budget_ms=4385 final_polish_budget_ms=0 planned_total_ms=13178 || [PIPELINE][summary] input 0 initial_fdl_ms=1316 final_lahc_ms=7793 final_sa_ms=4384 final_polish_ms=0 final_k=871 final_crossings=499651 final_lp=79838935936 saturated=0 budget_share_fdl=0.0975321 budget_share_lahc=0.577559 budget_share_sa=0.324909 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","15427","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7499 final_lahc_budget_ms=9427 final_sa_budget_ms=5304 final_polish_budget_ms=250 planned_total_ms=22480 || [PIPELINE][summary] input 0 initial_fdl_ms=11 final_lahc_ms=9428 final_sa_ms=5303 final_polish_ms=256 final_k=98 final_crossings=6372 final_lp=2128501196 saturated=0 budget_share_fdl=0.000733431 budget_share_lahc=0.628617 budget_share_sa=0.35358 budget_share_polish=0.0170689"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27498 final_lahc_budget_ms=34822 final_sa_budget_ms=19588 final_polish_budget_ms=0 planned_total_ms=81908 || [PIPELINE][summary] input 0 initial_fdl_ms=321 final_lahc_ms=34822 final_sa_ms=19588 final_polish_ms=0 final_k=1221 final_crossings=705090 final_lp=6332200289046 saturated=0 budget_share_fdl=0.00586505 budget_share_lahc=0.636239 budget_share_sa=0.357896 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=34065 final_sa_budget_ms=19163 final_polish_budget_ms=0 planned_total_ms=54228 || [PIPELINE][summary] input 0 initial_fdl_ms=1148 final_lahc_ms=34066 final_sa_ms=19163 final_polish_ms=0 final_k=845 final_crossings=489239 final_lp=74973453709 saturated=0 budget_share_fdl=0.0211119 budget_share_lahc=0.626478 budget_share_sa=0.35241 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35029 final_sa_budget_ms=19705 final_polish_budget_ms=250 planned_total_ms=82483 || [PIPELINE][summary] input 0 initial_fdl_ms=9 final_lahc_ms=35029 final_sa_ms=19706 final_polish_ms=255 final_k=88 final_crossings=5803 final_lp=1376408100 saturated=0 budget_share_fdl=0.000163639 budget_share_lahc=0.636902 budget_share_sa=0.358297 budget_share_polish=0.00463645"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27495 final_lahc_budget_ms=33664 final_sa_budget_ms=18936 final_polish_budget_ms=0 planned_total_ms=80095 || [PIPELINE][summary] input 0 initial_fdl_ms=1149 final_lahc_ms=33664 final_sa_ms=18936 final_polish_ms=0 final_k=1221 final_crossings=705090 final_lp=6332200289046 saturated=0 budget_share_fdl=0.0213771 budget_share_lahc=0.626319 budget_share_sa=0.352304 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","13003","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=34036 final_sa_budget_ms=19146 final_polish_budget_ms=0 planned_total_ms=54182 || [PIPELINE][summary] input 0 initial_fdl_ms=1150 final_lahc_ms=34037 final_sa_ms=19144 final_polish_ms=0 final_k=878 final_crossings=490084 final_lp=74480399226 saturated=0 budget_share_fdl=0.0211666 budget_share_lahc=0.626475 budget_share_sa=0.352359 budget_share_polish=0"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=30000 final_lahc_budget_ms=188629 final_sa_budget_ms=106105 final_polish_budget_ms=250 planned_total_ms=324984 || [PIPELINE][summary] input 0 initial_fdl_ms=9 final_lahc_ms=188629 final_sa_ms=106104 final_polish_ms=254 final_k=88 final_crossings=5430 final_lp=1088246038 saturated=0 budget_share_fdl=3.05089e-05 budget_share_lahc=0.639429 budget_share_sa=0.359679 budget_share_polish=0.000861029"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=60000 final_lahc_budget_ms=188414 final_sa_budget_ms=105984 final_polish_budget_ms=0 planned_total_ms=354398 || [PIPELINE][summary] input 0 initial_fdl_ms=287 final_lahc_ms=188414 final_sa_ms=105983 final_polish_ms=0 final_k=1187 final_crossings=641175 final_lp=4405537533747 saturated=0 budget_share_fdl=0.000973925 budget_share_lahc=0.639376 budget_share_sa=0.35965 budget_share_polish=0"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","7201","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=187616 final_sa_budget_ms=105534 final_polish_budget_ms=0 planned_total_ms=294150 || [PIPELINE][summary] input 0 initial_fdl_ms=1170 final_lahc_ms=187616 final_sa_ms=105534 final_polish_ms=0 final_k=916 final_crossings=483091 final_lp=67786492918 saturated=0 budget_share_fdl=0.00397527 budget_share_lahc=0.637456 budget_share_sa=0.358569 budget_share_polish=0"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=30000 final_lahc_budget_ms=188629 final_sa_budget_ms=106104 final_polish_budget_ms=250 planned_total_ms=324983 || [PIPELINE][summary] input 0 initial_fdl_ms=9 final_lahc_ms=188629 final_sa_ms=106105 final_polish_ms=258 final_k=76 final_crossings=5453 final_lp=1002003906 saturated=0 budget_share_fdl=3.05084e-05 budget_share_lahc=0.639418 budget_share_sa=0.359677 budget_share_polish=0.000874573"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","13003","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=60000 final_lahc_budget_ms=188391 final_sa_budget_ms=105971 final_polish_budget_ms=0 planned_total_ms=354362 || [PIPELINE][summary] input 0 initial_fdl_ms=339 final_lahc_ms=188391 final_sa_ms=105971 final_polish_ms=0 final_k=1210 final_crossings=638546 final_lp=4480866465520 saturated=0 budget_share_fdl=0.00115032 budget_share_lahc=0.639261 budget_share_sa=0.359588 budget_share_polish=0"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","15427","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=187651 final_sa_budget_ms=105555 final_polish_budget_ms=0 planned_total_ms=294206 || [PIPELINE][summary] input 0 initial_fdl_ms=1146 final_lahc_ms=187651 final_sa_ms=105555 final_polish_ms=0 final_k=825 final_crossings=470918 final_lp=61308194802 saturated=0 budget_share_fdl=0.0038933 budget_share_lahc=0.637505 budget_share_sa=0.358601 budget_share_polish=0"
