"BudgetMs","File","Threads","Seed","ExitCode","PipelineLines"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-1.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7499 final_lahc_budget_ms=9432 final_sa_budget_ms=5307 final_polish_budget_ms=250 planned_total_ms=22488 || [PIPELINE][summary] input 0 initial_fdl_ms=6 final_lahc_ms=9432 final_sa_ms=5307 final_polish_ms=76 final_k=10 final_crossings=465 final_lp=327514 saturated=0 budget_share_fdl=0.000404831 budget_share_lahc=0.636394 budget_share_sa=0.358073 budget_share_polish=0.00512786"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-4.json","1","7201","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9393 final_sa_budget_ms=5285 final_polish_budget_ms=250 planned_total_ms=22426 || [PIPELINE][summary] input 0 initial_fdl_ms=53 final_lahc_ms=9393 final_sa_ms=5285 final_polish_ms=165 final_k=15 final_crossings=990 final_lp=1010644 saturated=0 budget_share_fdl=0.003558 budget_share_lahc=0.630572 budget_share_sa=0.354793 budget_share_polish=0.0110768"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-7.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7497 final_lahc_budget_ms=8693 final_sa_budget_ms=4890 final_polish_budget_ms=250 planned_total_ms=21330 || [PIPELINE][summary] input 0 initial_fdl_ms=948 final_lahc_ms=8693 final_sa_ms=4890 final_polish_ms=273 final_k=132 final_crossings=27510 final_lp=1109334806 saturated=0 budget_share_fdl=0.0640367 budget_share_lahc=0.587206 budget_share_sa=0.330316 budget_share_polish=0.018441"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-1.json","1","13003","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7499 final_lahc_budget_ms=9432 final_sa_budget_ms=5306 final_polish_budget_ms=250 planned_total_ms=22487 || [PIPELINE][summary] input 0 initial_fdl_ms=6 final_lahc_ms=9432 final_sa_ms=5306 final_polish_ms=169 final_k=10 final_crossings=466 final_lp=365346 saturated=0 budget_share_fdl=0.000402334 budget_share_lahc=0.632468 budget_share_sa=0.355797 budget_share_polish=0.0113324"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-4.json","1","15427","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9412 final_sa_budget_ms=5295 final_polish_budget_ms=250 planned_total_ms=22455 || [PIPELINE][summary] input 0 initial_fdl_ms=30 final_lahc_ms=9412 final_sa_ms=5295 final_polish_ms=251 final_k=13 final_crossings=1133 final_lp=1194656 saturated=0 budget_share_fdl=0.0020016 budget_share_lahc=0.627969 budget_share_sa=0.353283 budget_share_polish=0.0167467"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-7.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27498 final_lahc_budget_ms=34719 final_sa_budget_ms=19530 final_polish_budget_ms=250 planned_total_ms=81997 || [PIPELINE][summary] input 0 initial_fdl_ms=374 final_lahc_ms=34719 final_sa_ms=19530 final_polish_ms=280 final_k=104 final_crossings=24812 final_lp=750711106 saturated=0 budget_share_fdl=0.00681201 budget_share_lahc=0.63237 budget_share_sa=0.355718 budget_share_polish=0.0050999"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-1.json","1","7201","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35033 final_sa_budget_ms=19707 final_polish_budget_ms=250 planned_total_ms=82489 || [PIPELINE][summary] input 0 initial_fdl_ms=5 final_lahc_ms=35033 final_sa_ms=19707 final_polish_ms=147 final_k=11 final_crossings=458 final_lp=344140 saturated=0 budget_share_fdl=9.1088e-05 budget_share_lahc=0.638217 budget_share_sa=0.359014 budget_share_polish=0.00267799"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-4.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35008 final_sa_budget_ms=19693 final_polish_budget_ms=250 planned_total_ms=82450 || [PIPELINE][summary] input 0 initial_fdl_ms=36 final_lahc_ms=35008 final_sa_ms=19693 final_polish_ms=135 final_k=10 final_crossings=808 final_lp=338742 saturated=0 budget_share_fdl=0.000656072 budget_share_lahc=0.637994 budget_share_sa=0.35889 budget_share_polish=0.00246027"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-7.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27497 final_lahc_budget_ms=34417 final_sa_budget_ms=19361 final_polish_budget_ms=250 planned_total_ms=81525 || [PIPELINE][summary] input 0 initial_fdl_ms=792 final_lahc_ms=34417 final_sa_ms=19361 final_polish_ms=280 final_k=105 final_crossings=22412 final_lp=502721133 saturated=0 budget_share_fdl=0.0144394 budget_share_lahc=0.627475 budget_share_sa=0.352981 budget_share_polish=0.00510483"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-1.json","1","15427","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35036 final_sa_budget_ms=19709 final_polish_budget_ms=250 planned_total_ms=82494 || [PIPELINE][summary] input 0 initial_fdl_ms=2 final_lahc_ms=35036 final_sa_ms=19709 final_polish_ms=60 final_k=10 final_crossings=434 final_lp=270964 saturated=0 budget_share_fdl=3.64917e-05 budget_share_lahc=0.639261 budget_share_sa=0.359607 budget_share_polish=0.00109475"
