"BudgetMs","File","Threads","Seed","ExitCode","PipelineLines"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9416 final_sa_budget_ms=5297 final_polish_budget_ms=250 planned_total_ms=22461 || [PIPELINE][summary] input 0 initial_fdl_ms=21 final_lahc_ms=9416 final_sa_ms=5297 final_polish_ms=253 final_k=88 final_crossings=6211 final_lp=1626297926 saturated=0 budget_share_fdl=0.00140121 budget_share_lahc=0.628278 budget_share_sa=0.35344 budget_share_polish=0.0168813"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","7201","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7495 final_lahc_budget_ms=8740 final_sa_budget_ms=4917 final_polish_budget_ms=0 planned_total_ms=21152 || [PIPELINE][summary] input 0 initial_fdl_ms=634 final_lahc_ms=8740 final_sa_ms=4917 final_polish_ms=0 final_k=1199 final_crossings=693542 final_lp=6010059492514 saturated=0 budget_share_fdl=0.0443636 budget_share_lahc=0.611574 budget_share_sa=0.344063 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=7650 final_sa_budget_ms=4304 final_polish_budget_ms=0 planned_total_ms=12954 || [PIPELINE][summary] input 0 initial_fdl_ms=1317 final_lahc_ms=7651 final_sa_ms=4303 final_polish_ms=0 final_k=916 final_crossings=522241 final_lp=91037706754 saturated=0 budget_share_fdl=0.0992389 budget_share_lahc=0.57652 budget_share_sa=0.324241 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","13003","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9416 final_sa_budget_ms=5298 final_polish_budget_ms=250 planned_total_ms=22462 || [PIPELINE][summary] input 0 initial_fdl_ms=21 final_lahc_ms=9417 final_sa_ms=5297 final_polish_ms=267 final_k=96 final_crossings=6266 final_lp=1771289302 saturated=0 budget_share_fdl=0.00139981 budget_share_lahc=0.627716 budget_share_sa=0.353086 budget_share_polish=0.0177976"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","15427","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7497 final_lahc_budget_ms=9195 final_sa_budget_ms=5173 final_polish_budget_ms=0 planned_total_ms=21865 || [PIPELINE][summary] input 0 initial_fdl_ms=322 final_lahc_ms=9195 final_sa_ms=5174 final_polish_ms=0 final_k=1221 final_crossings=705090 final_lp=6332200289046 saturated=0 budget_share_fdl=0.0219182 budget_share_lahc=0.625893 budget_share_sa=0.352188 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=34052 final_sa_budget_ms=19155 final_polish_budget_ms=0 planned_total_ms=54207 || [PIPELINE][summary] input 0 initial_fdl_ms=1148 final_lahc_ms=34052 final_sa_ms=19154 final_polish_ms=0 final_k=848 final_crossings=487519 final_lp=70392569832 saturated=0 budget_share_fdl=0.0211208 budget_share_lahc=0.626486 budget_share_sa=0.352394 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","7201","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35020 final_sa_budget_ms=19700 final_polish_budget_ms=250 planned_total_ms=82469 || [PIPELINE][summary] input 0 initial_fdl_ms=16 final_lahc_ms=35020 final_sa_ms=19700 final_polish_ms=256 final_k=86 final_crossings=6287 final_lp=1972558806 saturated=0 budget_share_fdl=0.000290951 budget_share_lahc=0.63682 budget_share_sa=0.358234 budget_share_polish=0.00465522"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27497 final_lahc_budget_ms=34681 final_sa_budget_ms=19509 final_polish_budget_ms=0 planned_total_ms=81687 || [PIPELINE][summary] input 0 initial_fdl_ms=421 final_lahc_ms=34681 final_sa_ms=19509 final_polish_ms=0 final_k=1199 final_crossings=683385 final_lp=5664553137466 saturated=0 budget_share_fdl=0.00770907 budget_share_lahc=0.635055 budget_share_sa=0.357236 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=32722 final_sa_budget_ms=18407 final_polish_budget_ms=0 planned_total_ms=52129 || [PIPELINE][summary] input 0 initial_fdl_ms=1491 final_lahc_ms=32722 final_sa_ms=18407 final_polish_ms=0 final_k=1045 final_crossings=665658 final_lp=232734226324 saturated=0 budget_share_fdl=0.0283352 budget_share_lahc=0.621855 budget_share_sa=0.34981 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","15427","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35025 final_sa_budget_ms=19702 final_polish_budget_ms=250 planned_total_ms=82476 || [PIPELINE][summary] input 0 initial_fdl_ms=13 final_lahc_ms=35025 final_sa_ms=19702 final_polish_ms=256 final_k=86 final_crossings=6009 final_lp=1537797936 saturated=0 budget_share_fdl=0.000236381 budget_share_lahc=0.636864 budget_share_sa=0.358244 budget_share_polish=0.00465488"
