"BudgetMs","File","Threads","ExitCode","PipelineLines"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-1.json","1","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7499 final_lahc_budget_ms=9436 final_sa_budget_ms=5308 final_polish_budget_ms=250 planned_total_ms=22493 || [PIPELINE][summary] input 0 initial_fdl_ms=3 final_lahc_ms=9436 final_sa_ms=5308 final_polish_ms=78 final_k=10 final_crossings=440 final_lp=285044 saturated=0 budget_share_fdl=0.000202361 budget_share_lahc=0.636492 budget_share_sa=0.358044 budget_share_polish=0.00526138"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-2.json","1","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7499 final_lahc_budget_ms=9423 final_sa_budget_ms=5301 final_polish_budget_ms=250 planned_total_ms=22473 || [PIPELINE][summary] input 0 initial_fdl_ms=19 final_lahc_ms=9423 final_sa_ms=5301 final_polish_ms=108 final_k=5 final_crossings=169 final_lp=8746 saturated=0 budget_share_fdl=0.00127938 budget_share_lahc=0.634503 budget_share_sa=0.356946 budget_share_polish=0.00727224"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9411 final_sa_budget_ms=5295 final_polish_budget_ms=250 planned_total_ms=22454 || [PIPELINE][summary] input 0 initial_fdl_ms=27 final_lahc_ms=9411 final_sa_ms=5295 final_polish_ms=250 final_k=100 final_crossings=6248 final_lp=2058665268 saturated=0 budget_share_fdl=0.00180204 budget_share_lahc=0.628112 budget_share_sa=0.353401 budget_share_polish=0.0166856"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-4.json","1","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7497 final_lahc_budget_ms=9390 final_sa_budget_ms=5282 final_polish_budget_ms=250 planned_total_ms=22419 || [PIPELINE][summary] input 0 initial_fdl_ms=56 final_lahc_ms=9390 final_sa_ms=5281 final_polish_ms=219 final_k=13 final_crossings=950 final_lp=717250 saturated=0 budget_share_fdl=0.00374682 budget_share_lahc=0.628262 budget_share_sa=0.353339 budget_share_polish=0.0146527"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-5.json","1","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9012 final_sa_budget_ms=5070 final_polish_budget_ms=250 planned_total_ms=21830 || [PIPELINE][summary] input 0 initial_fdl_ms=437 final_lahc_ms=9012 final_sa_ms=5070 final_polish_ms=275 final_k=159 final_crossings=51124 final_lp=696126042 saturated=0 budget_share_fdl=0.029539 budget_share_lahc=0.609166 budget_share_sa=0.342707 budget_share_polish=0.0185886"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=8970 final_sa_budget_ms=5047 final_polish_budget_ms=0 planned_total_ms=21515 || [PIPELINE][summary] input 0 initial_fdl_ms=536 final_lahc_ms=8970 final_sa_ms=5047 final_polish_ms=0 final_k=1221 final_crossings=705090 final_lp=6332200289046 saturated=0 budget_share_fdl=0.0368309 budget_share_lahc=0.616368 budget_share_sa=0.346801 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-7.json","1","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9059 final_sa_budget_ms=5097 final_polish_budget_ms=250 planned_total_ms=21904 || [PIPELINE][summary] input 0 initial_fdl_ms=465 final_lahc_ms=9059 final_sa_ms=5097 final_polish_ms=262 final_k=131 final_crossings=25258 final_lp=839898569 saturated=0 budget_share_fdl=0.0312437 budget_share_lahc=0.608681 budget_share_sa=0.342471 budget_share_polish=0.017604"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=7804 final_sa_budget_ms=4391 final_polish_budget_ms=0 planned_total_ms=13195 || [PIPELINE][summary] input 0 initial_fdl_ms=1353 final_lahc_ms=7804 final_sa_ms=4392 final_polish_ms=0 final_k=924 final_crossings=504550 final_lp=82564849532 saturated=0 budget_share_fdl=0.0998598 budget_share_lahc=0.575983 budget_share_sa=0.324157 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-8.json","1","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=8613 final_sa_budget_ms=4845 final_polish_budget_ms=0 planned_total_ms=14458 || [PIPELINE][summary] input 0 initial_fdl_ms=1511 final_lahc_ms=8615 final_sa_ms=4844 final_polish_ms=0 final_k=9829 final_crossings=43814621 final_lp=145652933578880 saturated=0 budget_share_fdl=0.100935 budget_share_lahc=0.575484 budget_share_sa=0.32358 budget_share_polish=0"
