"BudgetMs","File","Threads","Seed","ExitCode","PipelineLines"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-5.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7496 final_lahc_budget_ms=8989 final_sa_budget_ms=5057 final_polish_budget_ms=250 planned_total_ms=21792 || [PIPELINE][summary] input 0 initial_fdl_ms=480 final_lahc_ms=8989 final_sa_ms=5057 final_polish_ms=283 final_k=161 final_crossings=51614 final_lp=736092482 saturated=0 budget_share_fdl=0.0324127 budget_share_lahc=0.606996 budget_share_sa=0.341482 budget_share_polish=0.01911"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-8.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=8817 final_sa_budget_ms=4961 final_polish_budget_ms=0 planned_total_ms=14778 || [PIPELINE][summary] input 0 initial_fdl_ms=1198 final_lahc_ms=8818 final_sa_ms=4960 final_polish_ms=0 final_k=9512 final_crossings=41708892 final_lp=120580334582622 saturated=0 budget_share_fdl=0.0799947 budget_share_lahc=0.588809 budget_share_sa=0.331197 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-2.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9401 final_sa_budget_ms=5289 final_polish_budget_ms=250 planned_total_ms=22438 || [PIPELINE][summary] input 0 initial_fdl_ms=50 final_lahc_ms=9446 final_sa_ms=5243 final_polish_ms=66 final_k=4 final_crossings=129 final_lp=3664 saturated=0 budget_share_fdl=0.00337724 budget_share_lahc=0.638028 budget_share_sa=0.354137 budget_share_polish=0.00445795"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-5.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7497 final_lahc_budget_ms=8535 final_sa_budget_ms=4801 final_polish_budget_ms=250 planned_total_ms=21083 || [PIPELINE][summary] input 0 initial_fdl_ms=1096 final_lahc_ms=8535 final_sa_ms=4801 final_polish_ms=325 final_k=161 final_crossings=51149 final_lp=704812701 saturated=0 budget_share_fdl=0.0742698 budget_share_lahc=0.57837 budget_share_sa=0.325337 budget_share_polish=0.0220234"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-8.json","1","13003","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=8872 final_sa_budget_ms=4992 final_polish_budget_ms=0 planned_total_ms=14864 || [PIPELINE][summary] input 0 initial_fdl_ms=1121 final_lahc_ms=8873 final_sa_ms=4992 final_polish_ms=0 final_k=8866 final_crossings=38349870 final_lp=89238613852596 saturated=0 budget_share_fdl=0.0748031 budget_share_lahc=0.592086 budget_share_sa=0.333111 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-2.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35027 final_sa_budget_ms=19703 final_polish_budget_ms=250 planned_total_ms=82479 || [PIPELINE][summary] input 0 initial_fdl_ms=14 final_lahc_ms=35027 final_sa_ms=19703 final_polish_ms=80 final_k=5 final_crossings=126 final_lp=3700 saturated=0 budget_share_fdl=0.000255363 budget_share_lahc=0.638899 budget_share_sa=0.359386 budget_share_polish=0.00145921"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-5.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27497 final_lahc_budget_ms=34755 final_sa_budget_ms=19550 final_polish_budget_ms=250 planned_total_ms=82052 || [PIPELINE][summary] input 0 initial_fdl_ms=279 final_lahc_ms=34756 final_sa_ms=19549 final_polish_ms=258 final_k=161 final_crossings=51614 final_lp=736092482 saturated=0 budget_share_fdl=0.00508734 budget_share_lahc=0.633748 budget_share_sa=0.35646 budget_share_polish=0.00470442"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-8.json","1","7201","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=33960 final_sa_budget_ms=19104 final_polish_budget_ms=0 planned_total_ms=54064 || [PIPELINE][summary] input 0 initial_fdl_ms=1894 final_lahc_ms=33960 final_sa_ms=19104 final_polish_ms=0 final_k=10133 final_crossings=45355086 final_lp=165230823919143 saturated=0 budget_share_fdl=0.0344627 budget_share_lahc=0.617926 budget_share_sa=0.347611 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-2.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35031 final_sa_budget_ms=19705 final_polish_budget_ms=250 planned_total_ms=82485 || [PIPELINE][summary] input 0 initial_fdl_ms=10 final_lahc_ms=35031 final_sa_ms=19705 final_polish_ms=81 final_k=4 final_crossings=138 final_lp=5344 saturated=0 budget_share_fdl=0.000182392 budget_share_lahc=0.638937 budget_share_sa=0.359403 budget_share_polish=0.00147737"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-5.json","1","13003","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27498 final_lahc_budget_ms=34767 final_sa_budget_ms=19557 final_polish_budget_ms=250 planned_total_ms=82072 || [PIPELINE][summary] input 0 initial_fdl_ms=267 final_lahc_ms=34767 final_sa_ms=19557 final_polish_ms=326 final_k=161 final_crossings=51614 final_lp=736092482 saturated=0 budget_share_fdl=0.00486188 budget_share_lahc=0.633083 budget_share_sa=0.356119 budget_share_polish=0.00593623"
