"BudgetMs","File","Threads","Seed","ExitCode","PipelineLines"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7496 final_lahc_budget_ms=8787 final_sa_budget_ms=4944 final_polish_budget_ms=0 planned_total_ms=21227 || [PIPELINE][summary] input 0 initial_fdl_ms=673 final_lahc_ms=8789 final_sa_ms=4942 final_polish_ms=0 final_k=1203 final_crossings=686545 final_lp=5771310111782 saturated=0 budget_share_fdl=0.0467231 budget_share_lahc=0.610178 budget_share_sa=0.343099 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=7876 final_sa_budget_ms=4431 final_polish_budget_ms=0 planned_total_ms=13307 || [PIPELINE][summary] input 0 initial_fdl_ms=1290 final_lahc_ms=7876 final_sa_ms=4431 final_polish_ms=0 final_k=912 final_crossings=520816 final_lp=88283927435 saturated=0 budget_share_fdl=0.0948739 budget_share_lahc=0.579245 budget_share_sa=0.325881 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9416 final_sa_budget_ms=5297 final_polish_budget_ms=250 planned_total_ms=22461 || [PIPELINE][summary] input 0 initial_fdl_ms=22 final_lahc_ms=9416 final_sa_ms=5298 final_polish_ms=267 final_k=94 final_crossings=6203 final_lp=1909471294 saturated=0 budget_share_fdl=0.00146637 budget_share_lahc=0.627608 budget_share_sa=0.353129 budget_share_polish=0.0177964"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7496 final_lahc_budget_ms=8069 final_sa_budget_ms=4539 final_polish_budget_ms=0 planned_total_ms=20104 || [PIPELINE][summary] input 0 initial_fdl_ms=1404 final_lahc_ms=8069 final_sa_ms=4539 final_polish_ms=0 final_k=1192 final_crossings=700008 final_lp=6160150238879 saturated=0 budget_share_fdl=0.1002 budget_share_lahc=0.575864 budget_share_sa=0.323937 budget_share_polish=0"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","13003","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=8031 final_sa_budget_ms=4518 final_polish_budget_ms=0 planned_total_ms=13549 || [PIPELINE][summary] input 0 initial_fdl_ms=1243 final_lahc_ms=8031 final_sa_ms=4518 final_polish_ms=0 final_k=909 final_crossings=500343 final_lp=78888362731 saturated=0 budget_share_fdl=0.0901247 budget_share_lahc=0.582294 budget_share_sa=0.327581 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35013 final_sa_budget_ms=19696 final_polish_budget_ms=250 planned_total_ms=82458 || [PIPELINE][summary] input 0 initial_fdl_ms=26 final_lahc_ms=35013 final_sa_ms=19696 final_polish_ms=253 final_k=85 final_crossings=5562 final_lp=1003780860 saturated=0 budget_share_fdl=0.00047283 budget_share_lahc=0.636739 budget_share_sa=0.358187 budget_share_polish=0.004601"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27497 final_lahc_budget_ms=34401 final_sa_budget_ms=19351 final_polish_budget_ms=0 planned_total_ms=81249 || [PIPELINE][summary] input 0 initial_fdl_ms=684 final_lahc_ms=34402 final_sa_ms=19350 final_polish_ms=0 final_k=1221 final_crossings=705090 final_lp=6332200289046 saturated=0 budget_share_fdl=0.0125652 budget_share_lahc=0.631971 budget_share_sa=0.355463 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-9.json","1","7201","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=1000 final_lahc_budget_ms=33970 final_sa_budget_ms=19109 final_polish_budget_ms=0 planned_total_ms=54079 || [PIPELINE][summary] input 0 initial_fdl_ms=1165 final_lahc_ms=33970 final_sa_ms=19109 final_polish_ms=0 final_k=852 final_crossings=495287 final_lp=74985920862 saturated=0 budget_share_fdl=0.021477 budget_share_lahc=0.626244 budget_share_sa=0.352279 budget_share_polish=0"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-3.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27498 final_lahc_budget_ms=35013 final_sa_budget_ms=19696 final_polish_budget_ms=250 planned_total_ms=82457 || [PIPELINE][summary] input 0 initial_fdl_ms=25 final_lahc_ms=35013 final_sa_ms=19696 final_polish_ms=254 final_k=83 final_crossings=6046 final_lp=1452416758 saturated=0 budget_share_fdl=0.000454645 budget_share_lahc=0.636739 budget_share_sa=0.358187 budget_share_polish=0.00461919"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-6.json","1","13003","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27498 final_lahc_budget_ms=34801 final_sa_budget_ms=19576 final_polish_budget_ms=0 planned_total_ms=81875 || [PIPELINE][summary] input 0 initial_fdl_ms=287 final_lahc_ms=34801 final_sa_ms=19576 final_polish_ms=0 final_k=1212 final_crossings=682546 final_lp=6029882804308 saturated=0 budget_share_fdl=0.00525026 budget_share_lahc=0.636635 budget_share_sa=0.358115 budget_share_polish=0"
