"Graph","BudgetMs","Seed","BaselineFinalK","NoPolishFinalK","DeltaK","Status","BaselineExitCode","NoPolishExitCode"
"Automatic-9","300000","9109","831","822","-9","Polish_Harmful","0","0"
"Automatic-3","300000","13003","79","76","-3","Polish_Harmful","0","0"
"Automatic-6","300000","15427","1203","1202","-1","Polish_Harmful","0","0"
"Automatic-7","20000","1337","138","138","0","Neutral","0","0"
"Automatic-1","20000","7201","10","12","2","Polish_Beneficial","0","0"
"Automatic-4","20000","9109","14","13","-1","Polish_Harmful","0","0"
"Automatic-7","20000","11047","121","118","-3","Polish_Harmful","0","0"
"Automatic-1","20000","15427","13","12","-1","Polish_Harmful","0","0"
"Automatic-4","60000","1337","13","14","1","Polish_Beneficial","0","0"
"Automatic-7","60000","4242","106","101","-5","Polish_Harmful","0","0"
"Automatic-1","60000","9109","9","9","0","Neutral","0","0"
"Automatic-4","60000","11047","12","11","-1","Polish_Harmful","0","0"
"Automatic-7","60000","13003","101","96","-5","Polish_Harmful","0","0"
"Automatic-1","300000","1337","9","9","0","Neutral","0","0"
"Automatic-4","300000","4242","9","8","-1","Polish_Harmful","0","0"
"Automatic-7","300000","7201","63","59","-4","Polish_Harmful","0","0"
"Automatic-1","300000","11047","11","9","-2","Polish_Harmful","0","0"
"Automatic-4","300000","13003","10","8","-2","Polish_Harmful","0","0"
"Automatic-7","300000","15427","52","61","9","Polish_Beneficial","0","0"
"Automatic-8","20000","1337","9829","9829","0","Neutral","0","0"
"Automatic-2","20000","7201","5","5","0","Neutral","0","0"
"Automatic-5","20000","9109","158","159","1","Polish_Beneficial","0","0"
"Automatic-8","20000","11047","8786","9357","571","Polish_Beneficial","0","0"
"Automatic-2","20000","15427","4","4","0","Neutral","0","0"
"Automatic-5","60000","1337","161","161","0","Neutral","0","0"
"Automatic-8","60000","4242","8786","8786","0","Neutral","0","0"
"Automatic-2","60000","9109","4","4","0","Neutral","0","0"
"Automatic-5","60000","11047","161","161","0","Neutral","0","0"
"Automatic-8","60000","13003","8866","8786","-80","Polish_Harmful","0","0"
"Automatic-2","300000","1337","4","4","0","Neutral","0","0"
"Automatic-5","300000","4242","146","161","15","Polish_Beneficial","0","0"
"Automatic-8","300000","7201","9516","8587","-929","Polish_Harmful","0","0"
"Automatic-2","300000","11047","4","4","0","Neutral","0","0"
"Automatic-5","300000","13003","161","130","-31","Polish_Harmful","0","0"
"Automatic-8","300000","15427","8863","8587","-276","Polish_Harmful","0","0"
"Automatic-9","20000","1337","883","1038","155","Polish_Beneficial","0","0"
"Automatic-3","20000","7201","99","94","-5","Polish_Harmful","0","0"
"Automatic-6","20000","9109","1203","1192","-11","Polish_Harmful","0","0"
"Automatic-9","20000","11047","844","871","27","Polish_Beneficial","0","0"
"Automatic-3","20000","15427","90","98","8","Polish_Beneficial","0","0"
"Automatic-6","60000","1337","1221","1221","0","Neutral","0","0"
"Automatic-9","60000","4242","909","845","-64","Polish_Harmful","0","0"
"Automatic-3","60000","9109","92","88","-4","Polish_Harmful","0","0"
"Automatic-6","60000","11047","1221","1221","0","Neutral","0","0"
"Automatic-9","60000","13003","899","878","-21","Polish_Harmful","0","0"
"Automatic-3","300000","1337","73","88","15","Polish_Beneficial","0","0"
"Automatic-6","300000","4242","1213","1187","-26","Polish_Harmful","0","0"
"Automatic-9","300000","7201","855","916","61","Polish_Beneficial","0","0"
"Automatic-3","300000","11047","83","76","-7","Polish_Harmful","0","0"
"Automatic-6","300000","13003","1221","1210","-11","Polish_Harmful","0","0"
"Automatic-9","300000","15427","760","825","65","Polish_Beneficial","0","0"
"Automatic-1","20000","4242","11","10","-1","Polish_Harmful","0","0"
