"BudgetMs","File","Threads","Seed","ExitCode","PipelineLines"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-7.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7484 final_lahc_budget_ms=8708 final_sa_budget_ms=4899 final_polish_budget_ms=250 planned_total_ms=21341 || [PIPELINE][summary] input 0 initial_fdl_ms=911 final_lahc_ms=8708 final_sa_ms=4899 final_polish_ms=264 final_k=138 final_crossings=27627 final_lp=1376188643 saturated=0 budget_share_fdl=0.061629 budget_share_lahc=0.589095 budget_share_sa=0.331417 budget_share_polish=0.0178596"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-1.json","1","7201","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7499 final_lahc_budget_ms=9432 final_sa_budget_ms=5306 final_polish_budget_ms=250 planned_total_ms=22487 || [PIPELINE][summary] input 0 initial_fdl_ms=6 final_lahc_ms=9432 final_sa_ms=5306 final_polish_ms=50 final_k=12 final_crossings=551 final_lp=733660 saturated=0 budget_share_fdl=0.00040557 budget_share_lahc=0.637556 budget_share_sa=0.358659 budget_share_polish=0.00337975"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-4.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7498 final_lahc_budget_ms=9393 final_sa_budget_ms=5285 final_polish_budget_ms=250 planned_total_ms=22426 || [PIPELINE][summary] input 0 initial_fdl_ms=54 final_lahc_ms=9393 final_sa_ms=5285 final_polish_ms=148 final_k=13 final_crossings=1021 final_lp=884320 saturated=0 budget_share_fdl=0.00362903 budget_share_lahc=0.63125 budget_share_sa=0.355175 budget_share_polish=0.00994624"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-7.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7497 final_lahc_budget_ms=9010 final_sa_budget_ms=5069 final_polish_budget_ms=250 planned_total_ms=21826 || [PIPELINE][summary] input 0 initial_fdl_ms=468 final_lahc_ms=9010 final_sa_ms=5069 final_polish_ms=297 final_k=118 final_crossings=25216 final_lp=918916762 saturated=0 budget_share_fdl=0.0315279 budget_share_lahc=0.606979 budget_share_sa=0.341485 budget_share_polish=0.0200081"
"20000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-1.json","1","15427","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=7499 final_lahc_budget_ms=9433 final_sa_budget_ms=5307 final_polish_budget_ms=250 planned_total_ms=22489 || [PIPELINE][summary] input 0 initial_fdl_ms=5 final_lahc_ms=9434 final_sa_ms=5306 final_polish_ms=86 final_k=12 final_crossings=453 final_lp=420226 saturated=0 budget_share_fdl=0.000337132 budget_share_lahc=0.6361 budget_share_sa=0.357764 budget_share_polish=0.00579866"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-4.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35018 final_sa_budget_ms=19698 final_polish_budget_ms=250 planned_total_ms=82465 || [PIPELINE][summary] input 0 initial_fdl_ms=24 final_lahc_ms=35018 final_sa_ms=19697 final_polish_ms=250 final_k=14 final_crossings=979 final_lp=776382 saturated=0 budget_share_fdl=0.000436451 budget_share_lahc=0.636818 budget_share_sa=0.358199 budget_share_polish=0.00454636"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-7.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27498 final_lahc_budget_ms=34603 final_sa_budget_ms=19465 final_polish_budget_ms=250 planned_total_ms=81816 || [PIPELINE][summary] input 0 initial_fdl_ms=516 final_lahc_ms=34603 final_sa_ms=19465 final_polish_ms=331 final_k=101 final_crossings=24123 final_lp=614667358 saturated=0 budget_share_fdl=0.00939634 budget_share_lahc=0.630119 budget_share_sa=0.354457 budget_share_polish=0.0060275"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-1.json","1","9109","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=35034 final_sa_budget_ms=19707 final_polish_budget_ms=250 planned_total_ms=82490 || [PIPELINE][summary] input 0 initial_fdl_ms=5 final_lahc_ms=35034 final_sa_ms=19707 final_polish_ms=50 final_k=9 final_crossings=430 final_lp=235080 saturated=0 budget_share_fdl=9.12475e-05 budget_share_lahc=0.639353 budget_share_sa=0.359643 budget_share_polish=0.000912475"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-4.json","1","11047","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27498 final_lahc_budget_ms=34986 final_sa_budget_ms=19680 final_polish_budget_ms=250 planned_total_ms=82414 || [PIPELINE][summary] input 0 initial_fdl_ms=66 final_lahc_ms=34986 final_sa_ms=19681 final_polish_ms=217 final_k=11 final_crossings=741 final_lp=316298 saturated=0 budget_share_fdl=0.00120109 budget_share_lahc=0.636688 budget_share_sa=0.358162 budget_share_polish=0.00394904"
"60000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-7.json","1","13003","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=27499 final_lahc_budget_ms=34860 final_sa_budget_ms=19610 final_polish_budget_ms=250 planned_total_ms=82219 || [PIPELINE][summary] input 0 initial_fdl_ms=208 final_lahc_ms=34860 final_sa_ms=19610 final_polish_ms=275 final_k=96 final_crossings=23313 final_lp=577234683 saturated=0 budget_share_fdl=0.00378505 budget_share_lahc=0.63436 budget_share_sa=0.35685 budget_share_polish=0.00500428"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-1.json","1","1337","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=30000 final_lahc_budget_ms=188636 final_sa_budget_ms=106108 final_polish_budget_ms=250 planned_total_ms=324994 || [PIPELINE][summary] input 0 initial_fdl_ms=3 final_lahc_ms=188637 final_sa_ms=106107 final_polish_ms=85 final_k=9 final_crossings=414 final_lp=200754 saturated=0 budget_share_fdl=1.01753e-05 budget_share_lahc=0.639812 budget_share_sa=0.35989 budget_share_polish=0.0002883"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-4.json","1","4242","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=30000 final_lahc_budget_ms=188616 final_sa_budget_ms=106098 final_polish_budget_ms=250 planned_total_ms=324964 || [PIPELINE][summary] input 0 initial_fdl_ms=26 final_lahc_ms=188616 final_sa_ms=106100 final_polish_ms=201 final_k=8 final_crossings=617 final_lp=131996 saturated=0 budget_share_fdl=8.81526e-05 budget_share_lahc=0.6395 budget_share_sa=0.359731 budget_share_polish=0.000681488"
"300000","C:\Users\Asus\Desktop\GDContestAI2\data\Automatic-7.json","1","7201","0","[PIPELINE][budgets] input 0 initial_fdl_budget_ms=60000 final_lahc_budget_ms=188450 final_sa_budget_ms=106004 final_polish_budget_ms=250 planned_total_ms=354704 || [PIPELINE][summary] input 0 initial_fdl_ms=223 final_lahc_ms=188450 final_sa_ms=106004 final_polish_ms=286 final_k=59 final_crossings=14052 final_lp=76726688 saturated=0 budget_share_fdl=0.000756027 budget_share_lahc=0.638894 budget_share_sa=0.359381 budget_share_polish=0.000969613"
